Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

           Fiducial_mark           190mm         230mm         190mm         230mm         190mm         230mm  T          0.00                
           Fiducial_mark           190mm          15mm         190mm          15mm         190mm          15mm  T          0.00                
           Fiducial_mark            -5mm          15mm          -5mm          15mm          -5mm          15mm  T          0.00                
C21        0603_[1608]             142mm     70.0002mm         142mm          70mm         142mm     69.3002mm  B         90.00 100nF          
D1         SOT-23                107.5mm       101.9mm       107.5mm       101.9mm      108.45mm    100.8625mm  B         90.00 BAV70          
D2         DO214AA_12            111.1mm        15.7mm       111.1mm        15.7mm       111.1mm     18.0495mm  B        270.00 SMBJ12CA       
D3         DO214AA_12            122.7mm        15.7mm       122.7mm        15.7mm       122.7mm     18.0495mm  B        270.00 SMBJ12CA       
D4         DO214AA_12             91.1mm        15.7mm        91.1mm        15.7mm        91.1mm     13.3505mm  B         90.00 SMBJ12CA       
D5         DO214AA_12               98mm        13.3mm          98mm        13.3mm     95.6505mm        13.3mm  B        360.00 SMBJ12CA       
D6         DO214AA_12            104.6mm        15.7mm       104.6mm        15.7mm       104.6mm     13.3505mm  B         90.00 SMBJ12CA       
J1         TBLOCK_1X3_3.5MM_HOR_THD    116.5001mm           8mm    116.4999mm           8mm    120.0001mm           8mm  B        180.00 CAN            
J2         HEADER_1X2_2.54MM_THD       105.7mm         3.5mm       105.7mm         3.5mm       105.7mm        4.77mm  B        270.00 RS485 TERM     
J3         DSUB1.385-2H9_FEMALE          70mm        14.5mm          70mm           5mm       64.46mm       15.92mm  B        360.00 RS232          
J4         TBLOCK_1X3_3.5MM_HOR_THD     96.5001mm           8mm     96.4999mm           8mm    100.0001mm           8mm  B        180.00 RS485          
J5         SOCKET_2x26_2.54MM_SMD     37.9401mm     73.0102mm     37.9401mm     73.0102mm     35.3401mm     41.2602mm  B         90.00 EVA01 - TOP    
J6         SOCKET_2x26_2.54MM_SMD     78.5802mm       37.44mm     78.5802mm       37.44mm     46.8302mm       40.04mm  B        360.00 EVA01 - LEFT   
J7         SOCKET_2x26_2.54MM_SMD     78.5799mm      108.56mm     78.5799mm      108.56mm     46.8299mm      111.16mm  B        360.00 EVA01 - RIGHT  
J8         FCC-ZIF_40PIN_0.5MM          71mm      71.745mm          71mm          72mm       80.75mm       72.99mm  B        180.00 LCD Display Bus
J9         fcc-zif_10pin_0.5mm         146mm          65mm         146mm          65mm      148.25mm       65.99mm  B        180.00 Capacitive Touch
J10        fcc-zif_4pin_1mm        66.5mm        84.7mm        66.5mm        84.7mm        65.3mm        86.2mm  B        270.00 Resistive Touch
L1         WE-SL2                116.9mm        16.3mm       116.9mm        16.3mm      115.63mm       20.05mm  B        270.00 WE 744222      
